filename,umap_x,umap_y,cluster_id
78_V4_o2sat.png,-0.9433883,4.2212586,-1
79_V1_o2sat.png,6.0390835,3.0780709,3
79_V2_o2sat.png,5.953215,3.121787,3
79_V3_o2sat.png,6.5604415,4.0015073,3
79_V4_o2sat.png,6.407684,3.6267662,3
79_V5_o2sat.png,5.964043,3.9648595,2
7_V1_o2sat.png,4.8570895,4.856257,-1
7_V3_o2sat.png,4.585993,4.237084,1
80_V1_o2sat.png,1.1653603,2.5238748,-1
81_V1_o2sat.png,6.6249914,2.794427,3
81_V2_o2sat.png,6.3315306,3.0908735,3
81_V3_o2sat.png,6.652602,3.0960934,3
81_V4_o2sat.png,6.61032,2.8584173,3
81_V5_o2sat.png,6.586689,2.8373728,3
82_V1_o2sat.png,0.20290448,4.901668,6
82_V2_o2sat.png,-0.29851058,5.284773,5
83_V1_o2sat.png,1.7240229,2.265472,11
83_V2_o2sat.png,1.5729215,2.487325,-1
83_V3_o2sat.png,0.89826983,2.2679868,-1
84_V1_o2sat.png,-0.41399622,3.702714,10
84_V2_o2sat.png,0.6871254,2.1699893,4
84_V3_o2sat.png,0.16345534,3.2023962,-1
85_V1_o2sat.png,6.0342755,2.4522653,3
85_V2_o2sat.png,6.1127877,2.4695206,3
85_V3_o2sat.png,6.101257,2.7029529,3
85_V4_o2sat.png,5.9366484,2.3848271,3
85_V5_o2sat.png,6.003129,2.7417955,3
85_V6_o2sat.png,5.496726,2.2357686,3
86_V1_o2sat.png,2.504534,4.4982333,9
86_V2_o2sat.png,3.2768824,5.29383,0
86_V3_o2sat.png,3.2798145,3.0537822,7
86_V4_o2sat.png,3.3815398,3.6588209,-1
86_V5_o2sat.png,6.0815663,2.5456116,3
86_V6_o2sat.png,5.4797435,2.1372721,3
87_V1_o2sat.png,-0.45694083,5.215318,5
87_V2_o2sat.png,0.8000667,2.0593758,-1
87_V3_o2sat.png,0.24729294,5.038197,-1
88_V1_o2sat.png,0.38937768,2.0206819,-1
89_V1_o2sat.png,0.8332915,3.087297,10
89_V2_o2sat.png,1.143763,2.934829,10
